id,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
742, no checking account,21, existing credits paid back duly till now, radio/television,3160, unknown/ no savings account, more than 7 years,4," male, single", none,3, building society savings agreement/ life insurance,41, none, own,1, skilled employee / official,1, yes, yes,1
743, poor,24, all credits at this bank paid back duly, furniture/equipment,2483, quite rich, 1 to 4 years,4," male, single", none,4, real estate,22, stores, own,1, skilled employee / official,1, yes, yes,1
744, poor,39, critical account/ other credits existing (not at this bank), furniture/equipment,14179, unknown/ no savings account, 4 to 7 years,4," male, single", none,4, building society savings agreement/ life insurance,30, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
745, poor,13, critical account/ other credits existing (not at this bank), business,1797, little, less than 1 year,3," male, single", none,1, building society savings agreement/ life insurance,28," bank,", own,2, unskilled - resident,1, none, yes,1
746, poor,15, existing credits paid back duly till now, car (new),2511, little, unemployed,1," female, divorced/separated/married", none,4," car or other, not in attribute 6",23, none, rent,1, skilled employee / official,1, none, yes,1
747, poor,12, existing credits paid back duly till now, car (new),1274, little, less than 1 year,3," female, divorced/separated/married", none,1, real estate,37, none, own,1, unskilled - resident,1, none, yes,2
748, no checking account,21, existing credits paid back duly till now, car (used),5248, unknown/ no savings account, 1 to 4 years,1," male, single", none,3," car or other, not in attribute 6",26, none, own,1, skilled employee / official,1, none, yes,1
749, no checking account,15, existing credits paid back duly till now, car (used),3029, little, 4 to 7 years,2," male, single", none,2," car or other, not in attribute 6",33, none, own,1, skilled employee / official,1, none, yes,1
750, poor,6, existing credits paid back duly till now, furniture/equipment,428, little, more than 7 years,2," female, divorced/separated/married", none,1, building society savings agreement/ life insurance,49," bank,", own,1, skilled employee / official,1, yes, yes,1
751, poor,18, existing credits paid back duly till now, car (new),976, little, less than 1 year,1," female, divorced/separated/married", none,2," car or other, not in attribute 6",23, none, own,1, unskilled - resident,1, none, yes,2
752, little,12, existing credits paid back duly till now, business,841, moderate, 4 to 7 years,2," female, divorced/separated/married", none,4, real estate,23, none, rent,1, unskilled - resident,1, none, yes,1
753, no checking account,30, critical account/ other credits existing (not at this bank), radio/television,5771, little, 4 to 7 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",25, none, own,2, skilled employee / official,1, none, yes,1
754, no checking account,12, delay in paying off in the past, repairs,1555, rich, more than 7 years,4," male, single", none,4, unknown / no property,55, none, for free,2, skilled employee / official,2, none, yes,2
755, poor,24, existing credits paid back duly till now, car (new),1285, unknown/ no savings account, 4 to 7 years,4," female, divorced/separated/married", none,4, unknown / no property,32, none, rent,1, skilled employee / official,1, none, yes,2
756, moderate,6, critical account/ other credits existing (not at this bank), car (new),1299, little, 1 to 4 years,1," male, single", none,1, real estate,74, none, own,3, unemployed/ unskilled - non-resident,2, none, no,1
757, moderate,15, critical account/ other credits existing (not at this bank), radio/television,1271, unknown/ no savings account, 1 to 4 years,3," male, single", none,4, unknown / no property,39, none, for free,2, skilled employee / official,1, yes, yes,2
758, no checking account,24, existing credits paid back duly till now, car (new),1393, little, 1 to 4 years,2," male, single", guarantor,2, real estate,31, none, own,1, skilled employee / official,1, yes, yes,1
759, poor,12, critical account/ other credits existing (not at this bank), car (new),691, little, more than 7 years,4," male, single", none,3, building society savings agreement/ life insurance,35, none, own,2, skilled employee / official,1, none, yes,2
760, no checking account,15, critical account/ other credits existing (not at this bank), car (new),5045, unknown/ no savings account, more than 7 years,1," female, divorced/separated/married", none,4," car or other, not in attribute 6",59, none, own,1, skilled employee / official,1, yes, yes,1
761, poor,18, critical account/ other credits existing (not at this bank), furniture/equipment,2124, little, 1 to 4 years,4," female, divorced/separated/married", none,4, real estate,24, none, rent,2, skilled employee / official,1, none, yes,2
762, poor,12, existing credits paid back duly till now, radio/television,2214, little, 1 to 4 years,4," male, single", none,3, building society savings agreement/ life insurance,24, none, own,1, unskilled - resident,1, none, yes,1
763, no checking account,21, critical account/ other credits existing (not at this bank), car (new),12680, unknown/ no savings account, more than 7 years,4," male, single", none,4, unknown / no property,30, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
764, no checking account,24, critical account/ other credits existing (not at this bank), car (new),2463, moderate, 4 to 7 years,4," male, married/widowed", none,3, building society savings agreement/ life insurance,27, none, own,2, skilled employee / official,1, yes, yes,1
765, little,12, existing credits paid back duly till now, radio/television,1155, little, more than 7 years,3," male, married/widowed", guarantor,3, real estate,40," bank,", own,2, unskilled - resident,1, none, yes,1
766, poor,30, existing credits paid back duly till now, furniture/equipment,3108, little, less than 1 year,2," male, divorced/separated", none,4, building society savings agreement/ life insurance,31, none, own,1, unskilled - resident,1, none, yes,2
767, no checking account,10, existing credits paid back duly till now, car (used),2901, unknown/ no savings account, less than 1 year,1," female, divorced/separated/married", none,4, real estate,31, none, rent,1, skilled employee / official,1, none, yes,1
768, little,12, critical account/ other credits existing (not at this bank), furniture/equipment,3617, little, more than 7 years,1," male, single", none,4," car or other, not in attribute 6",28, none, rent,3, skilled employee / official,1, yes, yes,1
769, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,1655, little, more than 7 years,2," male, single", none,4, real estate,63, none, own,2, unskilled - resident,1, yes, yes,1
770, poor,24, existing credits paid back duly till now, car (used),2812, unknown/ no savings account, more than 7 years,2," female, divorced/separated/married", none,4, real estate,26, none, rent,1, skilled employee / official,1, none, yes,1
771, poor,36, critical account/ other credits existing (not at this bank), education,8065, little, 1 to 4 years,3," female, divorced/separated/married", none,2, unknown / no property,25, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
772, no checking account,21, critical account/ other credits existing (not at this bank), car (used),3275, little, more than 7 years,1," male, single", none,4," car or other, not in attribute 6",36, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
773, no checking account,24, critical account/ other credits existing (not at this bank), radio/television,2223, moderate, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,52," bank,", own,2, skilled employee / official,1, none, yes,1
774, moderate,12, critical account/ other credits existing (not at this bank), car (new),1480, quite rich, unemployed,2," male, single", none,4, unknown / no property,66," bank,", for free,3, unemployed/ unskilled - non-resident,1, none, yes,1
775, poor,24, existing credits paid back duly till now, car (new),1371, unknown/ no savings account, 1 to 4 years,4," female, divorced/separated/married", none,4, real estate,25, none, rent,1, skilled employee / official,1, none, yes,2
776, no checking account,36, critical account/ other credits existing (not at this bank), car (new),3535, little, 4 to 7 years,4," male, single", none,4," car or other, not in attribute 6",37, none, own,2, skilled employee / official,1, yes, yes,1
777, poor,18, existing credits paid back duly till now, radio/television,3509, little, 4 to 7 years,4," female, divorced/separated/married", guarantor,1, real estate,25, none, own,1, skilled employee / official,1, none, yes,1
778, no checking account,36, critical account/ other credits existing (not at this bank), car (used),5711, rich, more than 7 years,4," male, single", none,2," car or other, not in attribute 6",38, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
779, little,18, existing credits paid back duly till now, repairs,3872, little, unemployed,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",67, none, own,1, skilled employee / official,1, yes, yes,1
780, little,39, critical account/ other credits existing (not at this bank), radio/television,4933, little, 4 to 7 years,2," male, single", guarantor,2, real estate,25, none, own,2, skilled employee / official,1, none, yes,2
781, no checking account,24, critical account/ other credits existing (not at this bank), car (new),1940, rich, more than 7 years,4," male, single", none,4, real estate,60, none, own,1, skilled employee / official,1, yes, yes,1
782, little,12, no credits taken/ all credits paid back duly, retraining,1410, little, 1 to 4 years,2," male, single", none,2, real estate,31, none, own,1, unskilled - resident,1, yes, yes,1
783, little,12, existing credits paid back duly till now, car (new),836, moderate, less than 1 year,4," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,23," bank,", own,1, unskilled - resident,1, none, yes,2
784, little,20, existing credits paid back duly till now, car (used),6468, unknown/ no savings account, unemployed,1," male, divorced/separated", none,4, real estate,60, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
785, little,18, existing credits paid back duly till now, business,1941, rich, 1 to 4 years,4," male, single", none,2, building society savings agreement/ life insurance,35, none, own,1, unskilled - resident,1, yes, yes,1
786, no checking account,22, existing credits paid back duly till now, radio/television,2675, quite rich, more than 7 years,3," male, single", none,4," car or other, not in attribute 6",40, none, own,1, skilled employee / official,1, none, yes,1
787, no checking account,48, critical account/ other credits existing (not at this bank), car (used),2751, unknown/ no savings account, more than 7 years,4," male, single", none,3," car or other, not in attribute 6",38, none, own,2, skilled employee / official,2, yes, yes,1
788, little,48, delay in paying off in the past, education,6224, little, more than 7 years,4," male, single", none,4, unknown / no property,50, none, for free,1, skilled employee / official,1, none, yes,2
789, poor,40, critical account/ other credits existing (not at this bank), education,5998, little, 1 to 4 years,4," male, single", none,3, unknown / no property,27," bank,", own,1, skilled employee / official,1, yes, yes,2
790, little,21, existing credits paid back duly till now, business,1188, little, more than 7 years,2," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,39, none, own,1, skilled employee / official,2, none, yes,2
791, no checking account,24, existing credits paid back duly till now, car (used),6313, unknown/ no savings account, more than 7 years,3," male, single", none,4," car or other, not in attribute 6",41, none, own,1, management/ self-employed/highly qualified employee/ officer,2, yes, yes,1
792, no checking account,6, critical account/ other credits existing (not at this bank), furniture/equipment,1221, unknown/ no savings account, 1 to 4 years,1," male, married/widowed", none,2, building society savings agreement/ life insurance,27, none, own,2, skilled employee / official,1, none, yes,1
793, moderate,24, existing credits paid back duly till now, furniture/equipment,2892, little, more than 7 years,3," male, divorced/separated", none,4, unknown / no property,51, none, for free,1, skilled employee / official,1, none, yes,1
794, no checking account,24, existing credits paid back duly till now, furniture/equipment,3062, quite rich, more than 7 years,4," male, single", none,3, unknown / no property,32, none, rent,1, skilled employee / official,1, yes, yes,1
795, no checking account,9, existing credits paid back duly till now, furniture/equipment,2301, moderate, less than 1 year,2," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,22, none, rent,1, skilled employee / official,1, none, yes,1
796, poor,18, existing credits paid back duly till now, car (used),7511, unknown/ no savings account, more than 7 years,1," male, single", none,4, building society savings agreement/ life insurance,51, none, for free,1, skilled employee / official,2, yes, yes,2
797, no checking account,12, critical account/ other credits existing (not at this bank), furniture/equipment,1258, little, less than 1 year,2," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,22, none, rent,2, unskilled - resident,1, none, yes,1
798, no checking account,24, delay in paying off in the past, car (new),717, unknown/ no savings account, more than 7 years,4," male, married/widowed", none,4," car or other, not in attribute 6",54, none, own,2, skilled employee / official,1, yes, yes,1
799, little,9, existing credits paid back duly till now, car (new),1549, unknown/ no savings account, less than 1 year,4," male, single", none,2, real estate,35, none, own,1, unemployed/ unskilled - non-resident,1, none, yes,1
800, no checking account,24, critical account/ other credits existing (not at this bank), education,1597, little, more than 7 years,4," male, single", none,4, unknown / no property,54, none, for free,2, skilled employee / official,2, none, yes,1
801, little,18, critical account/ other credits existing (not at this bank), radio/television,1795, little, more than 7 years,3," female, divorced/separated/married", guarantor,4, real estate,48," bank,", rent,2, unskilled - resident,1, yes, yes,1
802, poor,20, critical account/ other credits existing (not at this bank), furniture/equipment,4272, little, more than 7 years,1," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,24, none, own,2, skilled employee / official,1, none, yes,1
803, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,976, unknown/ no savings account, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",35, none, own,2, skilled employee / official,1, none, yes,1
804, little,12, existing credits paid back duly till now, car (new),7472, unknown/ no savings account, unemployed,1," female, divorced/separated/married", none,2, real estate,24, none, rent,1, unemployed/ unskilled - non-resident,1, none, yes,1
805, poor,36, existing credits paid back duly till now, car (new),9271, little, 4 to 7 years,2," male, single", none,1," car or other, not in attribute 6",24, none, own,1, skilled employee / official,1, yes, yes,2
806, little,6, existing credits paid back duly till now, radio/television,590, little, less than 1 year,3," male, married/widowed", none,3, real estate,26, none, own,1, unskilled - resident,1, none, no,1
807, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,930, unknown/ no savings account, more than 7 years,4," male, single", none,4, real estate,65, none, own,4, skilled employee / official,1, none, yes,1
808, little,42, all credits at this bank paid back duly, car (used),9283, little, unemployed,1," male, single", none,2, unknown / no property,55," bank,", for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
809, little,15, no credits taken/ all credits paid back duly, car (new),1778, little, less than 1 year,2," female, divorced/separated/married", none,1, real estate,26, none, rent,2, unemployed/ unskilled - non-resident,1, none, yes,2
810, little,8, existing credits paid back duly till now, business,907, little, less than 1 year,3," male, married/widowed", none,2, real estate,26, none, own,1, skilled employee / official,1, yes, yes,1
811, little,6, existing credits paid back duly till now, radio/television,484, little, 4 to 7 years,3," male, married/widowed", guarantor,3, real estate,28," bank,", own,1, unskilled - resident,1, none, yes,1
812, poor,36, critical account/ other credits existing (not at this bank), car (used),9629, little, 4 to 7 years,4," male, single", none,4," car or other, not in attribute 6",24, none, own,2, skilled employee / official,1, yes, yes,2
813, poor,48, existing credits paid back duly till now, domestic appliances,3051, little, 1 to 4 years,3," male, single", none,4," car or other, not in attribute 6",54, none, own,1, skilled employee / official,1, none, yes,2
814, poor,48, existing credits paid back duly till now, car (new),3931, little, 4 to 7 years,4," male, single", none,4, unknown / no property,46, none, for free,1, skilled employee / official,2, none, yes,2
815, little,36, delay in paying off in the past, car (new),7432, little, 1 to 4 years,2," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,54, none, rent,1, skilled employee / official,1, none, yes,1
816, no checking account,6, existing credits paid back duly till now, domestic appliances,1338, quite rich, 1 to 4 years,1," male, divorced/separated", none,4, real estate,62, none, own,1, skilled employee / official,1, none, yes,1
817, no checking account,6, critical account/ other credits existing (not at this bank), radio/television,1554, little, 4 to 7 years,1," female, divorced/separated/married", none,2," car or other, not in attribute 6",24, none, rent,2, skilled employee / official,1, yes, yes,1
818, poor,36, existing credits paid back duly till now, others,15857, little, unemployed,2," male, divorced/separated", co-applicant,3," car or other, not in attribute 6",43, none, own,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
819, poor,18, existing credits paid back duly till now, radio/television,1345, little, 1 to 4 years,4," male, married/widowed", none,3, real estate,26," bank,", own,1, skilled employee / official,1, none, yes,2
820, no checking account,12, existing credits paid back duly till now, car (new),1101, little, 1 to 4 years,3," male, married/widowed", none,2, real estate,27, none, own,2, skilled employee / official,1, yes, yes,1
821, moderate,12, existing credits paid back duly till now, radio/television,3016, little, 1 to 4 years,3," male, married/widowed", none,1," car or other, not in attribute 6",24, none, own,1, skilled employee / official,1, none, yes,1
822, poor,36, existing credits paid back duly till now, furniture/equipment,2712, little, more than 7 years,2," male, single", none,2, building society savings agreement/ life insurance,41," bank,", own,1, skilled employee / official,2, none, yes,2
823, poor,8, critical account/ other credits existing (not at this bank), car (new),731, little, more than 7 years,4," male, single", none,4, real estate,47, none, own,2, unskilled - resident,1, none, yes,1
824, no checking account,18, critical account/ other credits existing (not at this bank), furniture/equipment,3780, little, less than 1 year,3," male, divorced/separated", none,2," car or other, not in attribute 6",35, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
825, poor,21, critical account/ other credits existing (not at this bank), car (new),1602, little, more than 7 years,4," male, married/widowed", none,3," car or other, not in attribute 6",30, none, own,2, skilled employee / official,1, yes, yes,1
826, poor,18, critical account/ other credits existing (not at this bank), car (new),3966, little, more than 7 years,1," female, divorced/separated/married", none,4, real estate,33," bank,", rent,3, skilled employee / official,1, yes, yes,2
827, no checking account,18, no credits taken/ all credits paid back duly, business,4165, little, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",36, stores, own,2, skilled employee / official,2, none, yes,2
828, poor,36, existing credits paid back duly till now, car (used),8335, unknown/ no savings account, more than 7 years,3," male, single", none,4, unknown / no property,47, none, for free,1, skilled employee / official,1, none, yes,2
829, little,48, delay in paying off in the past, business,6681, unknown/ no savings account, 1 to 4 years,4," male, single", none,4, unknown / no property,38, none, for free,1, skilled employee / official,2, yes, yes,1
830, no checking account,24, delay in paying off in the past, business,2375, quite rich, 1 to 4 years,4," male, single", none,2," car or other, not in attribute 6",44, none, own,2, skilled employee / official,2, yes, yes,1
831, poor,18, existing credits paid back duly till now, car (new),1216, little, less than 1 year,4," female, divorced/separated/married", none,3," car or other, not in attribute 6",23, none, rent,1, skilled employee / official,1, yes, yes,2
832, poor,45, no credits taken/ all credits paid back duly, business,11816, little, more than 7 years,2," male, single", none,4," car or other, not in attribute 6",29, none, rent,2, skilled employee / official,1, none, yes,2
833, little,24, existing credits paid back duly till now, radio/television,5084, unknown/ no savings account, more than 7 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",42, none, own,1, skilled employee / official,1, yes, yes,1
834, moderate,15, existing credits paid back duly till now, radio/television,2327, little, less than 1 year,2," female, divorced/separated/married", none,3, real estate,25, none, own,1, unskilled - resident,1, none, yes,2
835, poor,12, no credits taken/ all credits paid back duly, car (new),1082, little, 1 to 4 years,4," male, single", none,4," car or other, not in attribute 6",48," bank,", own,2, skilled employee / official,1, none, yes,2
836, no checking account,12, existing credits paid back duly till now, radio/television,886, unknown/ no savings account, 1 to 4 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",21, none, own,1, skilled employee / official,1, none, yes,1
837, no checking account,4, existing credits paid back duly till now, furniture/equipment,601, little, less than 1 year,1," female, divorced/separated/married", none,3, real estate,23, none, rent,1, unskilled - resident,2, none, yes,1
838, poor,24, critical account/ other credits existing (not at this bank), car (used),2957, little, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,63, none, own,2, skilled employee / official,1, yes, yes,1
839, no checking account,24, critical account/ other credits existing (not at this bank), radio/television,2611, little, more than 7 years,4," male, married/widowed", co-applicant,3, real estate,46, none, own,2, skilled employee / official,1, none, yes,1
840, poor,36, existing credits paid back duly till now, furniture/equipment,5179, little, 4 to 7 years,4," male, single", none,2, building society savings agreement/ life insurance,29, none, own,1, skilled employee / official,1, none, yes,2
841, no checking account,21, delay in paying off in the past, car (used),2993, little, 1 to 4 years,3," male, single", none,2, real estate,28, stores, own,2, unskilled - resident,1, none, yes,1
842, no checking account,18, existing credits paid back duly till now, repairs,1943, little, less than 1 year,4," female, divorced/separated/married", none,4, real estate,23, none, own,1, skilled employee / official,1, none, yes,2
843, no checking account,24, all credits at this bank paid back duly, business,1559, little, 4 to 7 years,4," male, single", none,4," car or other, not in attribute 6",50," bank,", own,1, skilled employee / official,1, yes, yes,1
844, no checking account,18, existing credits paid back duly till now, furniture/equipment,3422, little, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,47," bank,", own,3, skilled employee / official,2, yes, yes,1
845, little,21, existing credits paid back duly till now, furniture/equipment,3976, unknown/ no savings account, 4 to 7 years,2," male, single", none,3," car or other, not in attribute 6",35, none, own,1, skilled employee / official,1, yes, yes,1
846, no checking account,18, existing credits paid back duly till now, car (new),6761, unknown/ no savings account, 1 to 4 years,2," male, single", none,4," car or other, not in attribute 6",68, none, rent,2, skilled employee / official,1, none, yes,2
847, no checking account,24, existing credits paid back duly till now, car (new),1249, little, less than 1 year,4," male, married/widowed", none,2, real estate,28, none, own,1, skilled employee / official,1, none, yes,1
848, poor,9, existing credits paid back duly till now, radio/television,1364, little, 4 to 7 years,3," male, single", none,4, real estate,59, none, own,1, skilled employee / official,1, none, yes,1
849, poor,12, existing credits paid back duly till now, radio/television,709, little, more than 7 years,4," male, single", none,4, real estate,57, stores, own,1, unskilled - resident,1, none, yes,2
850, poor,20, critical account/ other credits existing (not at this bank), car (new),2235, little, 1 to 4 years,4," male, married/widowed", guarantor,2, building society savings agreement/ life insurance,33," bank,", rent,2, skilled employee / official,1, none, no,2
851, no checking account,24, critical account/ other credits existing (not at this bank), car (used),4042, unknown/ no savings account, 4 to 7 years,3," male, single", none,4, building society savings agreement/ life insurance,43, none, own,2, skilled employee / official,1, yes, yes,1
852, no checking account,15, critical account/ other credits existing (not at this bank), radio/television,1471, little, 1 to 4 years,4," male, single", none,4, unknown / no property,35, none, for free,2, skilled employee / official,1, yes, yes,1
853, poor,18, all credits at this bank paid back duly, car (new),1442, little, 4 to 7 years,4," male, single", none,4, unknown / no property,32, none, for free,2, unskilled - resident,2, none, yes,2
854, no checking account,36, delay in paying off in the past, car (new),10875, little, more than 7 years,2," male, single", none,2," car or other, not in attribute 6",45, none, own,2, skilled employee / official,2, yes, yes,1
855, no checking account,24, existing credits paid back duly till now, car (new),1474, moderate, less than 1 year,4," male, married/widowed", none,3, real estate,33, none, own,1, skilled employee / official,1, yes, yes,1
856, no checking account,10, existing credits paid back duly till now, retraining,894, unknown/ no savings account, 4 to 7 years,4," female, divorced/separated/married", none,3, building society savings agreement/ life insurance,40, none, own,1, skilled employee / official,1, yes, yes,1
857, no checking account,15, critical account/ other credits existing (not at this bank), furniture/equipment,3343, little, 1 to 4 years,4," male, single", none,2, unknown / no property,28, none, for free,1, skilled employee / official,1, yes, yes,1
858, poor,15, existing credits paid back duly till now, car (new),3959, little, 1 to 4 years,3," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,29, none, own,1, skilled employee / official,1, yes, yes,2
859, no checking account,9, existing credits paid back duly till now, car (new),3577, moderate, 1 to 4 years,1," male, single", guarantor,2, real estate,26, none, rent,1, skilled employee / official,2, none, no,1
860, no checking account,24, critical account/ other credits existing (not at this bank), car (used),5804, rich, 1 to 4 years,4," male, single", none,2, real estate,27, none, own,2, skilled employee / official,1, none, yes,1
861, no checking account,18, delay in paying off in the past, business,2169, little, 1 to 4 years,4," male, married/widowed", none,2," car or other, not in attribute 6",28, none, own,1, skilled employee / official,1, yes, yes,2
862, poor,24, existing credits paid back duly till now, radio/television,2439, little, less than 1 year,4," female, divorced/separated/married", none,4, real estate,35, none, own,1, skilled employee / official,1, yes, yes,2
863, no checking account,27, critical account/ other credits existing (not at this bank), furniture/equipment,4526, rich, less than 1 year,4," male, single", none,2, real estate,32, stores, own,2, unskilled - resident,2, yes, yes,1
864, no checking account,10, existing credits paid back duly till now, furniture/equipment,2210, little, 1 to 4 years,2," male, single", none,2, real estate,25," bank,", rent,1, unskilled - resident,1, none, yes,2
865, no checking account,15, existing credits paid back duly till now, furniture/equipment,2221, quite rich, 1 to 4 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",20, none, rent,1, skilled employee / official,1, none, yes,1
866, poor,18, existing credits paid back duly till now, radio/television,2389, little, less than 1 year,4," female, divorced/separated/married", none,1," car or other, not in attribute 6",27, stores, own,1, skilled employee / official,1, none, yes,1
867, no checking account,12, critical account/ other credits existing (not at this bank), furniture/equipment,3331, little, more than 7 years,2," male, single", none,4, building society savings agreement/ life insurance,42, stores, own,1, skilled employee / official,1, none, yes,1
868, no checking account,36, existing credits paid back duly till now, business,7409, unknown/ no savings account, more than 7 years,3," male, single", none,2, building society savings agreement/ life insurance,37, none, own,2, skilled employee / official,1, none, yes,1
869, poor,12, existing credits paid back duly till now, furniture/equipment,652, little, more than 7 years,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,24, none, rent,1, skilled employee / official,1, none, yes,1
870, no checking account,36, delay in paying off in the past, furniture/equipment,7678, quite rich, 4 to 7 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",40, none, own,2, skilled employee / official,1, yes, yes,1
871, moderate,6, critical account/ other credits existing (not at this bank), car (new),1343, little, more than 7 years,1," male, single", none,4, real estate,46, none, own,2, skilled employee / official,2, none, no,1
872, poor,24, critical account/ other credits existing (not at this bank), business,1382, moderate, 4 to 7 years,4," male, single", none,1, real estate,26, none, own,2, skilled employee / official,1, yes, yes,1
873, no checking account,15, existing credits paid back duly till now, domestic appliances,874, unknown/ no savings account, less than 1 year,4," female, divorced/separated/married", none,1, real estate,24, none, own,1, skilled employee / official,1, none, yes,1
874, poor,12, existing credits paid back duly till now, furniture/equipment,3590, little, 1 to 4 years,2," male, single", co-applicant,2, building society savings agreement/ life insurance,29, none, own,1, unskilled - resident,2, none, yes,1
875, little,11, critical account/ other credits existing (not at this bank), car (new),1322, rich, 1 to 4 years,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",40, none, own,2, skilled employee / official,1, none, yes,1
876, poor,18, all credits at this bank paid back duly, radio/television,1940, little, less than 1 year,3," male, single", co-applicant,4, unknown / no property,36," bank,", for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
877, no checking account,36, existing credits paid back duly till now, radio/television,3595, little, more than 7 years,4," male, single", none,2," car or other, not in attribute 6",28, none, own,1, skilled employee / official,1, none, yes,1
878, poor,9, existing credits paid back duly till now, car (new),1422, little, less than 1 year,3," male, single", none,2, unknown / no property,27, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
879, no checking account,30, critical account/ other credits existing (not at this bank), radio/television,6742, unknown/ no savings account, 4 to 7 years,2," male, single", none,3, building society savings agreement/ life insurance,36, none, own,2, skilled employee / official,1, none, yes,1
880, no checking account,24, existing credits paid back duly till now, car (used),7814, little, 4 to 7 years,3," male, single", none,3," car or other, not in attribute 6",38, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
881, no checking account,24, existing credits paid back duly till now, car (used),9277, unknown/ no savings account, 1 to 4 years,2," male, divorced/separated", none,4, unknown / no property,48, none, for free,1, skilled employee / official,1, yes, yes,1
882, little,30, critical account/ other credits existing (not at this bank), car (new),2181, unknown/ no savings account, more than 7 years,4," male, single", none,4, real estate,36, none, own,2, skilled employee / official,1, none, yes,1
883, no checking account,18, critical account/ other credits existing (not at this bank), radio/television,1098, little, unemployed,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",65, none, own,2, unemployed/ unskilled - non-resident,1, none, yes,1
884, little,24, existing credits paid back duly till now, furniture/equipment,4057, little, 4 to 7 years,3," male, divorced/separated", none,3," car or other, not in attribute 6",43, none, own,1, skilled employee / official,1, yes, yes,2
885, poor,12, existing credits paid back duly till now, education,795, little, less than 1 year,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,53, none, own,1, skilled employee / official,1, none, yes,2
886, little,24, critical account/ other credits existing (not at this bank), business,2825, unknown/ no savings account, 4 to 7 years,4," male, single", none,3, unknown / no property,34, none, own,2, skilled employee / official,2, yes, yes,1
887, little,48, existing credits paid back duly till now, business,15672, little, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",23, none, own,1, skilled employee / official,1, yes, yes,2
888, no checking account,36, critical account/ other credits existing (not at this bank), car (new),6614, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",34, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
889, no checking account,28, all credits at this bank paid back duly, car (used),7824, unknown/ no savings account, less than 1 year,3," male, single", guarantor,4, real estate,40," bank,", rent,2, skilled employee / official,2, yes, yes,1
890, poor,27, critical account/ other credits existing (not at this bank), business,2442, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",43, stores, own,4, management/ self-employed/highly qualified employee/ officer,2, yes, yes,1
891, no checking account,15, critical account/ other credits existing (not at this bank), radio/television,1829, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",46, none, own,2, skilled employee / official,1, yes, yes,1
892, poor,12, critical account/ other credits existing (not at this bank), car (new),2171, little, 1 to 4 years,4," male, single", none,4, building society savings agreement/ life insurance,38," bank,", own,2, unskilled - resident,1, none, no,1
893, little,36, critical account/ other credits existing (not at this bank), car (used),5800, little, 1 to 4 years,3," male, single", none,4," car or other, not in attribute 6",34, none, own,2, skilled employee / official,1, yes, yes,1
